ZIP_CODE,CITY,PHYSICAL DELV ADDR,STATE
85929,LAKESIDE,1815 W JACKSON LN,AZ
85930,MCNARY,14 CADY ST,AZ
85932,NUTRIOSO,1 COUNTY RD 2013,AZ
85933,OVERGAARD,2821 STATE HIGHWAY 260,AZ
85934,PINEDALE,1222 PINEDALE RD,AZ
85935,PINETOP,712 E WHITE MOUNTAIN BLVD,AZ
85936,SAINT JOHNS,840 W CLEVELAND ST,AZ
85937,SNOWFLAKE,761 S 1ST ST W,AZ
85938,SPRINGERVILLE,5 E MAIN ST,AZ
85939,TAYLOR,25 S MAIN ST,AZ
85940,VERNON,1688 APACHE COUNTY ROAD 3140,AZ
85941,WHITERIVER,1025 S CHIEF AVE,AZ
85942,WOODRUFF,6435 W 1ST ST,AZ
86025,HOLBROOK,100 W ERIE ST,AZ
86028,PETRIFIED FOREST NATL PK,1 PARK RD,AZ
86029,SUN VALLEY,8611 5TH ST,AZ
86030,HOTEVILLA,3 MAIN ST,AZ
86031,INDIAN WELLS,17 HIGHWAY 77,AZ
86032,JOSEPH CITY,4592 W MAIN ST,AZ
86033,KAYENTA,391 HIGHWAY 163,AZ
86034,KEAMS CANYON,403 STATE ROUTE 264,AZ
86039,KYKOTSMOVI VILLAGE,113 MAIN ST,AZ
86042,POLACCA,392 STATE ROUTE 264,AZ
86043,SECOND MESA,383 HIGHWAY 264,AZ
86047,WINSLOW,223 N WILLIAMSON AVE,AZ
86047,WINSLOW,HC 63 BOX B,AZ
86047,WINSLOW,223 N WILLIAMSON AVE,AZ
86054,SHONTO,101 SHONTO CANYON DR,AZ
86502,CHAMBERS,800 HIGHWAY 191,AZ
86503,CHINLE,500 HIGHWAY 191,AZ
86503,CHINLE,500 HIGHWAY 191,AZ
86504,FORT DEFIANCE,400 STATE HIGHWAY 12,AZ
86505,GANADO,191 STATE HIGHWAY 264,AZ
86507,LUKACHUKAI,700 HIGHWAY 191,AZ
86508,LUPTON,357 ROUTE 12,AZ
86510,PINON,500 STATE ROAD 4,AZ
86511,SAINT MICHAELS,343 HIGHWAY 264,AZ
86512,SANDERS,100 HIGHWAY 191 S,AZ
86512,SANDERS,100 HIGHWAY 191 S,AZ
86514,TEEC NOS POS,100 STATE HIGHWAY 64 N,AZ
86515,WINDOW ROCK,264 WINDOW ROCK LOOP RD,AZ
86520,BLUE GAP,350 INDIAN ROUTE 4,AZ
86535,DENNEHOTSO,416 STATE HIGHWAY 160,AZ
86538,MANY FARMS,100 HIGHWAY 191,AZ
86540,NAZLINI,19 STATE HIGHWAY 27,AZ
86544,RED VALLEY,325 HIGHWAY 191,AZ
86545,ROCK POINT,400 HIGHWAY 191,AZ
86556,TSAILE,1 CIRCLE DR,AZ
